Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2014-07-25 13:32:59.557 -0600,"Success",0:00:01,0,0,0,"20140725_133259.557/LogFile.txt","","",1
2014-07-25 13:48:29.526 -0600,"Success",0:00:01,0,0,0,"20140725_134829.526/LogFile.txt","","",1
2014-07-25 13:51:12.660 -0600,"Success",0:00:01,0,0,0,"20140725_135112.660/LogFile.txt","","",1
2014-07-25 13:51:23.396 -0600,"Success",0:00:00,0,0,0,"20140725_135123.396/LogFile.txt","","",1
2014-07-25 13:54:36.926 -0600,"Success",0:00:01,0,0,0,"20140725_135436.926/LogFile.txt","","",1
2014-07-25 13:55:42.030 -0600,"Success",0:00:01,0,0,0,"20140725_135542.030/LogFile.txt","","",1
2014-07-25 13:55:51.481 -0600,"Success",0:00:00,0,0,0,"20140725_135551.481/LogFile.txt","","",1
